datetime,user,heartrate,steps
2020-08-13 04:51:00,AHYIJDV,58,0
2020-08-13 04:52:00,AHYIJDV,59,0
2020-08-13 04:53:00,AHYIJDV,58,0
2020-08-13 04:54:00,AHYIJDV,52,0
2020-08-13 04:55:00,AHYIJDV,56,0
2020-08-13 04:59:00,AHYIJDV,54,0
2020-08-13 05:00:00,AHYIJDV,55,0
2020-08-13 05:01:00,AHYIJDV,58,0
2020-08-13 05:02:00,AHYIJDV,57,0
2020-08-13 05:03:00,AHYIJDV,56,0
2020-08-13 05:04:00,AHYIJDV,53,0
2020-08-13 05:06:00,AHYIJDV,51,0
2020-08-13 06:16:00,AHYIJDV,54,0
2020-08-13 06:17:00,AHYIJDV,57,0
2020-08-13 06:18:00,AHYIJDV,58,0
2020-08-13 06:20:00,AHYIJDV,55,0
2020-08-13 06:22:00,AHYIJDV,54,0
2020-08-13 06:23:00,AHYIJDV,55,0
2020-08-13 06:25:00,AHYIJDV,57,0
2020-08-13 06:26:00,AHYIJDV,55,0
2020-08-13 06:27:00,AHYIJDV,55,0
2020-08-13 06:28:00,AHYIJDV,57,0
2020-08-13 06:30:00,AHYIJDV,56,0
2020-08-13 07:23:00,AHYIJDV,72,0
2020-08-13 07:24:00,AHYIJDV,65,0
2020-08-13 07:25:00,AHYIJDV,64,0
2020-08-13 07:28:00,AHYIJDV,61,0
2020-08-13 07:29:00,AHYIJDV,62,0
2020-08-13 07:30:00,AHYIJDV,63,0
2020-08-13 07:31:00,AHYIJDV,63,0
2020-08-13 07:33:00,AHYIJDV,62,10
2020-08-13 07:34:00,AHYIJDV,62,43
2020-08-13 07:35:00,AHYIJDV,65,9
2020-08-13 08:54:00,AHYIJDV,84,0
2020-08-13 09:00:00,AHYIJDV,85,16
2020-08-13 09:01:00,AHYIJDV,84,42
2020-08-13 09:02:00,AHYIJDV,114,7
2020-08-13 09:04:00,AHYIJDV,129,0
2020-08-13 09:05:00,AHYIJDV,123,0
2020-08-13 09:06:00,AHYIJDV,123,0
